Source,Call
profiler.missing_value_matrix,matplotlib.pyplot.savefig
profiler.missing_value_matrix,matplotlib.pyplot.close
profiler.analyze_temporal_column,profiler.dropna
profiler.analyze_temporal_column,profiler.col_data.min
profiler.analyze_temporal_column,profiler.col_data.max
profiler.analyze_temporal_column,profiler.self._plot_temporal_gaps_distribution
profiler.analyze_temporal_column,profiler.self._plot_weekly_aggregate_time_series
profiler.analyze_temporal_column,profiler.self._summarize_temporal_gaps
profiler.analyze_temporal_column,profiler.self._format_day_of_week_distribution
profiler.analyze_temporal_column,profiler.self._format_monthly_trends
profiler.analyze_temporal_column,pandas.notna
profiler.analyze_temporal_column,profiler.earliest.strftime
profiler.analyze_temporal_column,pandas.notna
profiler.analyze_temporal_column,profiler.latest.strftime
profiler.analyze_temporal_column,profiler.col_data.dt.dayofweek.value_counts.to_dict
profiler.analyze_temporal_column,profiler.col_data.dt.month.value_counts.sort_index.to_dict
profiler.analyze_temporal_column,pandas.notna
profiler.analyze_temporal_column,pandas.notna
profiler.analyze_temporal_column,profiler.col_data.dt.dayofweek.value_counts
profiler.analyze_temporal_column,profiler.col_data.dt.month.value_counts.sort_index
profiler.analyze_temporal_column,profiler.col_data.dt.month.value_counts
profiler._summarize_temporal_gaps,profiler.col_data.sort_values
profiler._summarize_temporal_gaps,profiler.col_data.diff.describe
profiler._summarize_temporal_gaps,profiler.int
profiler._summarize_temporal_gaps,profiler.col_data.diff
profiler._summarize_temporal_gaps,pandas.notna
profiler._summarize_temporal_gaps,pandas.notna
profiler._summarize_temporal_gaps,pandas.notna
profiler._summarize_temporal_gaps,pandas.notna
profiler._summarize_temporal_gaps,pandas.notna
profiler._summarize_temporal_gaps,pandas.notna
profiler._summarize_temporal_gaps,pandas.notna
profiler._format_day_of_week_distribution,profiler.int
profiler._format_day_of_week_distribution,profiler.day_of_week_counts.items
profiler._format_monthly_trends,profiler.monthly_counts.items
profiler._format_monthly_trends,profiler.int
profiler._plot_temporal_gaps_distribution,profiler.col_data.sort_values
profiler._plot_temporal_gaps_distribution,re.sub
profiler._plot_temporal_gaps_distribution,re.sub
profiler._plot_temporal_gaps_distribution,profiler.col_data.diff.dropna
profiler._plot_temporal_gaps_distribution,matplotlib.pyplot.figure
profiler._plot_temporal_gaps_distribution,seaborn.histplot
profiler._plot_temporal_gaps_distribution,matplotlib.pyplot.title
profiler._plot_temporal_gaps_distribution,matplotlib.pyplot.xlabel
profiler._plot_temporal_gaps_distribution,matplotlib.pyplot.ylabel
profiler._plot_temporal_gaps_distribution,matplotlib.pyplot.savefig
profiler._plot_temporal_gaps_distribution,matplotlib.pyplot.close
profiler._plot_temporal_gaps_distribution,profiler.col_data.diff
profiler._plot_weekly_aggregate_time_series,re.sub
profiler._plot_weekly_aggregate_time_series,re.sub
profiler._plot_weekly_aggregate_time_series,profiler.col_data.dt.to_period.value_counts.sort_index
profiler._plot_weekly_aggregate_time_series,profiler.weekly_counts.rolling.mean
profiler._plot_weekly_aggregate_time_series,matplotlib.pyplot.figure
profiler._plot_weekly_aggregate_time_series,matplotlib.pyplot.plot
profiler._plot_weekly_aggregate_time_series,matplotlib.pyplot.plot
profiler._plot_weekly_aggregate_time_series,matplotlib.pyplot.title
profiler._plot_weekly_aggregate_time_series,matplotlib.pyplot.xlabel
profiler._plot_weekly_aggregate_time_series,matplotlib.pyplot.ylabel
profiler._plot_weekly_aggregate_time_series,matplotlib.pyplot.grid
profiler._plot_weekly_aggregate_time_series,matplotlib.pyplot.legend
profiler._plot_weekly_aggregate_time_series,matplotlib.pyplot.xticks
profiler._plot_weekly_aggregate_time_series,matplotlib.pyplot.yticks
profiler._plot_weekly_aggregate_time_series,matplotlib.pyplot.tight_layout
profiler._plot_weekly_aggregate_time_series,matplotlib.pyplot.savefig
profiler._plot_weekly_aggregate_time_series,matplotlib.pyplot.close
profiler._plot_weekly_aggregate_time_series,profiler.weekly_counts.index.to_timestamp
profiler._plot_weekly_aggregate_time_series,profiler.weekly_counts_smooth.index.to_timestamp
profiler._plot_weekly_aggregate_time_series,profiler.col_data.dt.to_period.value_counts
profiler._plot_weekly_aggregate_time_series,profiler.weekly_counts.rolling
profiler._plot_weekly_aggregate_time_series,profiler.col_data.dt.to_period
profiler.profile,profiler.self._identify_invalid_patterns_regex
profiler.profile,profiler.self._count_special_characters
profiler.profile,scipy.stats.entropy
profiler.profile,profiler.self.col_data.value_counts
profiler.profile,profiler.self.col_data.nunique
profiler.profile,profiler.self.col_data.value_counts.head.to_dict
profiler.profile,profiler.self.col_data.value_counts.tail.to_dict
profiler.profile,profiler.self.col_data.duplicated.sum
profiler.profile,profiler.self.col_data.str.isupper.sum
profiler.profile,profiler.self.col_data.str.islower.sum
profiler.profile,profiler.self.col_data.str.len.min
profiler.profile,profiler.self.col_data.str.len.max
profiler.profile,profiler.self.col_data.str.len.mean
profiler.profile,profiler.self.col_data.isna.sum
profiler.profile,profiler.self.col_data.str.strip.isin.sum
profiler.profile,profiler.self.col_data.value_counts.head
profiler.profile,profiler.self.col_data.value_counts.tail
profiler.profile,profiler.self.col_data.duplicated
profiler.profile,profiler.self.col_data.str.isupper
profiler.profile,profiler.self.col_data.str.islower
profiler.profile,profiler.self.col_data.value_counts.head
profiler.profile,profiler.self.col_data.str.len
profiler.profile,profiler.self.col_data.str.len
profiler.profile,profiler.self.col_data.str.len
profiler.profile,profiler.self.col_data.isna
profiler.profile,profiler.self.col_data.str.strip.isin
profiler.profile,profiler.self.col_data.value_counts
profiler.profile,profiler.self.col_data.value_counts
profiler.profile,profiler.self.col_data.value_counts
profiler.profile,profiler.self.col_data.str.strip
profiler._count_special_characters,profiler.self.col_data.str.count.sum
profiler._count_special_characters,profiler.self.col_data.str.count.sum
